127.0.0.1[Info] pid[5998][05-25 09:36:50 0.30264600]	Mysql Execute Result:[{"id":9,"good_title":"测试产品1","short_title":"测试产品1","good_pic":"http:\/\/images.520qiran.com\/uploads\/product\/96556270addcab53d1a72e2c763767cd-104255.jpg","good_tag":"标签一","good_price":2810,"good_tax":0,"good_trade_type":"现货"},{"id":10,"good_title":"测试产品2","short_title":"测试产品2","good_pic":"http:\/\/images.demo.com\/uploads\/product\/2018-05-15\/20180515133738.jpeg","good_tag":"标签一","good_price":0,"good_tax":0,"good_trade_type":"现货"},{"id":11,"good_title":"测试商品3","short_title":"测试商品3","good_pic":"http:\/\/images.520qiran.com\/uploads\/product\/96556270addcab53d1a72e2c763767cd-104255.jpg","good_tag":"标签一,测试商品3","good_price":0,"good_tax":0,"good_trade_type":"现货"},{"id":12,"good_title":"测试商品3","short_title":"测试商品3","good_pic":"http:\/\/images.520qiran.com\/uploads\/product\/96556270addcab53d1a72e2c763767cd-104255.jpg","good_tag":"标签一,测试商品3","good_price":0,"good_tax":0,"good_trade_type":"现货"}]
127.0.0.1[Info] pid[5998][05-25 09:36:50 0.82987600]	RedisCommands Args:["get","ApiLimit:good:index:127.0.0.1"]
127.0.0.1[Info] pid[5998][05-25 09:36:50 0.83024600]	RedisCommands Result:1
127.0.0.1[Info] pid[5998][05-25 09:36:50 0.83159100]	RedisCommands Args:["incr","ApiLimit:good:index:127.0.0.1"]
127.0.0.1[Info] pid[5998][05-25 09:36:50 0.83201200]	RedisCommands Result:2
127.0.0.1[Info] pid[5998][05-25 09:36:50 0.83217900]	Mysql Execute Query:["select count(*) as total from goods where good_state = ?",["正常"],true]
127.0.0.1[Info] pid[5998][05-25 09:36:50 0.83286600]	Mysql Execute Result:{"total":12}
127.0.0.1[Info] pid[5998][05-25 09:36:50 0.83313100]	Mysql Execute Query:["select id, good_title, short_title, good_pic, good_tag, good_price, good_tax, good_trade_type from goods where good_state = ?  limit ?, ?",["正常",8,4],false]
127.0.0.1[Info] pid[5998][05-25 09:36:50 0.83383700]	Mysql Execute Result:[{"id":13,"good_title":"新增产品123111111","short_title":"新增产品123","good_pic":"http:\/\/images.demo.com\/uploads\/product\/2018-05-15\/20180515133806.jpeg","good_tag":"新增产品123,新增产品124","good_price":0,"good_tax":0.17,"good_trade_type":"现货"},{"id":16,"good_title":"这里输入中文","short_title":"sfdsaf","good_pic":"http:\/\/images.520qiran.com\/uploads\/product\/96556270addcab53d1a72e2c763767cd-104255.jpg","good_tag":"[\"fdsafdsf\"]","good_price":0,"good_tax":0,"good_trade_type":"现货"},{"id":17,"good_title":"sfdsaf","short_title":"sfdsaf","good_pic":"http:\/\/images.520qiran.com\/uploads\/product\/96556270addcab53d1a72e2c763767cd-104255.jpg","good_tag":"fdsafdsf","good_price":0,"good_tax":0,"good_trade_type":"现货"},{"id":18,"good_title":"sfdsaf","short_title":"sfdsaf","good_pic":"http:\/\/images.520qiran.com\/uploads\/product\/96556270addcab53d1a72e2c763767cd-104255.jpg","good_tag":"fdsafdsf,fdafdsafdsfddddddd","good_price":0,"good_tax":0,"good_trade_type":"现货"}]
127.0.0.1[Info] pid[5998][05-25 09:37:09 0.17714400]	RedisCommands Args:["get","ApiLimit:good:info:127.0.0.1"]
127.0.0.1[Info] pid[5998][05-25 09:37:09 0.17779000]	RedisCommands Result:false
127.0.0.1[Info] pid[5998][05-25 09:37:09 0.17803700]	RedisCommands Args:["setex","ApiLimit:good:info:127.0.0.1",1,1]
127.0.0.1[Info] pid[5998][05-25 09:37:09 0.17827800]	RedisCommands Result:1
127.0.0.1[Info] pid[5998][05-25 09:37:09 0.17843600]	Mysql Execute Query:["select  id, good_title, short_title, good_pic, good_tag, good_price, good_tax, good_trade_type from goods where id = ?",[2],true]
